,pickup_dt,borough,pickups,spd,vsb,temp,dewp,slp,pcp01,pcp06,pcp24,sd,hday
1332,2015-01-09 11:00:00,Bronx,23,16.0,10.0,25.0,7.0,1015.7,0.0,0.0,0.0555,0.0,N
1339,2015-01-09 12:00:00,Bronx,24,7.25,1.08,23.8,12.6,1015.7,0.0025,0.0,0.0555,0.0,N
1346,2015-01-09 13:00:00,Bronx,19,7.6,0.68,23.0,17.4,1016.7,0.028,0.0,0.0555,0.0,N
1352,2015-01-09 14:00:00,Bronx,34,10.0,1.475,23.25,17.5,1017.4,0.025,0.0,0.0555,0.0,N
1358,2015-01-09 15:00:00,Bronx,46,11.0,6.0,25.0,16.0,1017.5,0.0,0.0,0.07,0.0,N
1365,2015-01-09 16:00:00,Bronx,34,5.0,10.0,26.0,14.0,1016.8,0.0,0.0025,0.0555,0.0,N
1371,2015-01-09 17:00:00,Bronx,53,9.0,10.0,29.0,12.0,1015.8,0.0,0.0305,0.0555,0.0,N
1378,2015-01-09 18:00:00,Bronx,45,8.0,10.0,31.0,10.0,1015.3,0.0,0.07,0.0555,0.0,N
1385,2015-01-09 19:00:00,Bronx,36,5.0,10.0,33.0,9.0,1015.5,0.0,0.0555,0.0555,0.0,N
1392,2015-01-09 20:00:00,Bronx,42,8.0,10.0,32.0,9.0,1016.1,0.0,0.0555,0.0555,0.0,N
1399,2015-01-09 21:00:00,Bronx,54,8.0,10.0,32.0,9.0,1016.8,0.0,0.0555,0.0555,0.0,N
